No,ClassNum,Hamburger,Pizza,Cat,Dog,Summer
1,202012054,7,8,6,9,1
2,202112053,9,4,8,5,1
3,202012052,9,7,8,7,2
4,202112022,10,10,8,6,1
5,202312051,7,6,8,8,3
6,202112057,9,6,8,9,3
7,202112047,10,5,8,8,2
8,202212029,7,7,5,8,0
9,202212051,10,5,10,5,7
10,202312407,7,7,10,10,8
11,202312066,7,8,10,10,2
12,202112040,4,4,3,10,6
13,202215037,9,7,9,9,10
14,202312045,3,2,10,10,2
15,202312407,7,7,10,10,8
16,202312066,7,8,10,10,2
17,202112040,4,4,3,10,6
18,202215037,9,7,9,9,10
19,202312045,3,2,10,10,2
20,202212062,2,10,10,10,1
21,202212030,3,10,4,10,0
22,202012036,8,8,10,10,1
23,202008033,6,10,4,4,2
24,202112064,7,6,2,10,2
25,202112037,4,8,2,10,0
26,202112054,7,6,10,0,0
27,202007066,8,5,2,8,1
28,202112049,6,6,7,8,3
29,202112066,7,9,9,8,4
30,20000000,9,9,0,10,10
