No,Class,ClassNum,Hamburger,Pizza,Cat,Dog,Summer,Cluster
1,A,202112027,7,8,9,9,8,3
2,A,202112028,8,5,8,9,5,3
3,A,202112034,9,4,8,9,9,3
4,A,202112012,6,9,9,8,7,3
5,A,202226024,10,8,7,9,3,2
6,A,202112029,8,5,7,7,1,2
7,A,202312004,10,2,3,10,2,2
8,A,202312015,10,10,3,10,6,2
9,A,202112007,10,8,7,6,1,2
10,A,202112005,10,10,8,9,1,1
11,A,202210032,10,10,7,10,3,1
12,A,202312022,7,8,6,6,4,2
13,A,2024001138,7,8,3,10,1,2
14,A,202112033,8,9,2,3,5,2
15,A,201812003,5,9,8,7,1,2
16,A,202112013,7,9,10,7,5,3
17,A,202112010,5,5,6,8,0,2
18,A,202212016,10,10,9,10,0,1
19,A,202112020,10,10,10,10,3,1
20,A,202212404,8,8,8,8,5,3
21,A,202012008,5,8,10,9,2,1
22,A,202312057,10,5,10,10,3,1
23,A,202312046,10,9,9,10,1,1
24,A,202312058,8,6,6,5,1,2
25,A,202312403,6,8,8,6,8,3
26,A,202312018,9,9,2,6,2,2
27,A,202012034,10,7,5,10,1,2
28,A,202112401,6,6,10,10,5,3
29,A,202112030,8.2,7,6,8.5,5,3
30,A,202212005,8,5,20,20,0,1
31,A,202312019,9,7,10,10,1,1
32,A,202312005,2,8,10,10,4,3
33,A,202312040,9,10,3,2,1,2
34,A,202312055,8,6,8,10,4,3
35,B,202012054,7,8,6,9,1,1
36,B,202112053,9,4,8,5,1,3
37,B,202012052,9,7,8,7,2,1
38,B,202112022,10,10,8,6,1,3
39,B,202312051,7,6,8,8,3,1
40,B,202112057,9,6,8,9,3,2
41,B,202112047,10,5,8,8,2,3
42,B,202212029,7,7,5,8,0,2
43,B,202212051,10,5,10,5,7,1
44,B,202312407,7,7,10,10,8,2
45,B,202312066,7,8,10,10,2,3
46,B,202112040,4,4,3,10,6,2
47,B,202215037,9,7,9,9,10,3
48,B,202312045,3,2,10,10,2,3
49,B,201812404,6,7,8,7,2,3
50,B,202312044,9,8,6,6,1,1
51,B,202312067,7,4,9,8,2,2
52,B,202212062,2,10,10,10,1,3
53,B,202212030,3,10,4,10,0,2
54,B,202012036,8,8,10,10,1,2
55,B,202008033,6,10,4,4,2,2
56,B,202112064,7,6,2,10,2,1
57,B,202112037,4,8,2,10,0,1
58,B,202112054,7,6,10,0,0,1
59,B,202007066,8,5,2,8,1,1
60,B,202112049,6,6,7,8,3,2
61,B,202112066,7,9,9,8,4,1
62,B,20000000,9,9,0,10,10,3
