"rules","support","confidence","coverage","lift","count"
"{¶¥Äá} => {¸ÆÁÖ}",0.4,1,0.4,1.66666666666667,2
"{²­} => {ÃÊÄÝ¸´}",0.4,1,0.4,2.5,2
"{ÃÊÄÝ¸´} => {²­}",0.4,1,0.4,2.5,2
"{¿ÀÂ¡¾î} => {¸ÆÁÖ}",0.2,1,0.2,1.66666666666667,1
"{¶ó¸é} => {¶¥Äá}",0.2,1,0.2,2.5,1
"{¶ó¸é} => {¸ÆÁÖ}",0.2,1,0.2,1.66666666666667,1
"{¹°} => {²­}",0.2,1,0.2,2.5,1
"{¹°} => {ÃÊÄÝ¸´}",0.2,1,0.2,2.5,1
"{¶¥Äá,¶ó¸é} => {¸ÆÁÖ}",0.2,1,0.2,1.66666666666667,1
"{¶ó¸é,¸ÆÁÖ} => {¶¥Äá}",0.2,1,0.2,2.5,1
"{²­,¹°} => {ÃÊÄÝ¸´}",0.2,1,0.2,2.5,1
"{¹°,ÃÊÄÝ¸´} => {²­}",0.2,1,0.2,2.5,1
